timestamp,model_name,model_size,removed_layers,removed_blocks,train_mode,unfrozen_layers,dd_subfolders,ndd_subfolders,dataset_scale,dataset_size,n_train,n_val,n_test,noise_type,noise_scale,noise_frac,mixup_prob,mixup_alpha,learning_rate,batch_size,epochs,epochs_trained,es_monitor,es_patience,best_val_loss,best_val_acc,best_val_auc,test_loss,test_acc,test_auc,test_eer,test_uar,total_params,trainable_params,model_size_kb
2026-05-04 17:49:19,DDSD_scratch_20260504_174919,all,-,-,scratch,-,"DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.001,16,100,29,val_auc,10,0.7097212076187134,0.6818181872367859,0.7587810158729553,0.975098,0.644444,0.752099,0.222332,0.640316,24258,23106,94.8
2026-05-04 17:49:57,DDSD_scratch_20260504_174957,all,-,-,scratch,-,"DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.01,64,100,25,val_auc,10,0.9695848226547241,0.6818181872367859,0.7210744023323059,1.791931,0.666667,0.712593,0.399209,0.66502,24258,23106,94.8
2026-05-04 17:50:49,DDSD_scratch_20260504_175049,all,-,-,scratch,-,"DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.01,32,100,41,val_auc,10,0.6779125332832336,0.7045454382896423,0.7484503984451294,1.169622,0.622222,0.676543,0.266798,0.626482,24258,23106,94.8
2026-05-04 17:51:26,DDSD_scratch_20260504_175126,all,-,-,scratch,-,"DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.01,16,100,24,val_auc,10,0.5381278991699219,0.8409090638160706,0.8724172711372375,1.573031,0.688889,0.767901,0.333004,0.687747,24258,23106,94.8
2026-05-04 17:51:44,DDSD_layers_20260504_175144,all,-,-,layers,"-7, -6, -5, -4, -3, -2, -1","DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.0001,64,100,11,val_auc,10,0.7859938144683838,0.4318181872367859,0.3225722908973694,0.786687,0.311111,0.313827,0.688735,0.311265,24258,0,94.8
2026-05-04 17:52:00,DDSD_layers_20260504_175200,all,-,-,layers,"-7, -6, -5, -4, -3, -2, -1","DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.0001,32,100,11,val_auc,10,0.7972986698150635,0.34090909361839294,0.26601237058639526,0.804886,0.466667,0.36642,0.555336,0.465415,24258,0,94.8
2026-05-04 17:52:18,DDSD_layers_20260504_175218,all,-,-,layers,"-7, -6, -5, -4, -3, -2, -1","DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.0001,16,100,11,val_auc,10,0.676846444606781,0.6590909361839294,0.6539255976676941,0.664813,0.6,0.664198,0.466403,0.59585,24258,0,94.8
2026-05-04 17:52:35,DDSD_layers_20260504_175235,all,-,-,layers,"-7, -6, -5, -4, -3, -2, -1","DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.001,64,100,11,val_auc,10,0.6711764931678772,0.5909090638160706,0.6844008564949036,0.661309,0.644444,0.701481,0.220356,0.650198,24258,0,94.8
2026-05-04 17:52:53,DDSD_layers_20260504_175253,all,-,-,layers,"-7, -6, -5, -4, -3, -2, -1","DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.001,32,100,11,val_auc,10,0.8885717391967773,0.5,0.4514462947845459,1.009178,0.511111,0.380247,0.644269,0.5,24258,0,94.8
2026-05-04 17:53:13,DDSD_layers_20260504_175313,all,-,-,layers,"-7, -6, -5, -4, -3, -2, -1","DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.001,16,100,11,val_auc,10,0.8364052176475525,0.4318181872367859,0.4103822410106659,0.920585,0.511111,0.436543,0.599802,0.503953,24258,0,94.8
2026-05-04 17:53:32,DDSD_layers_20260504_175332,all,-,-,layers,"-7, -6, -5, -4, -3, -2, -1","DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.01,64,100,11,val_auc,10,0.8071884512901306,0.5,0.5222107172012329,0.855672,0.511111,0.462222,0.621542,0.5,24258,0,94.8
2026-05-04 17:53:53,DDSD_layers_20260504_175353,all,-,-,layers,"-7, -6, -5, -4, -3, -2, -1","DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.01,32,100,11,val_auc,10,0.8068745136260986,0.5,0.43130165338516235,0.840718,0.511111,0.430617,0.599802,0.5,24258,0,94.8
2026-05-04 17:54:10,DDSD_layers_20260504_175410,all,-,-,layers,"-7, -6, -5, -4, -3, -2, -1","DD_NA,DD_A",NDD_S,1.0,-,355,44,45,none,0.0,0.0,0.0,0.0,0.01,16,100,11,val_auc,10,0.7375211119651794,0.4545454680919647,0.5049070119857788,0.744725,0.444444,0.487407,0.466403,0.454545,24258,0,94.8
